id,customer_age,occupation_type,relationship_status,education_background,has_credit_issue,mortgage_status,personal_loan_status,last_contact_month,day_of_week,contact_time_minutes,contact_attempt_count,days_since_prior_contact,prior_contact_count,prior_outcome_status,economic_activity_change,consumer_price_index,consumer_confidence_index,reference_interest_rate,employment_level_index,accepted_offer,is_repeat_customer,recent_contact_flag
12556,28,services,married,high.school,no,yes,no,jul,tue,286,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0,0
35451,27,admin.,married,university.degree,no,yes,yes,jul,fri,178,2,999,0,nonexistent,1.4,93.918,-42.7,4.959,5228.1,0,0,0
30592,43,self-employed,married,high.school,unknown,yes,no,apr,wed,345,1,999,0,nonexistent,-1.8,93.075,-47.1,1.498,5099.1,0,0,0
17914,43,admin.,single,university.degree,no,yes,no,aug,fri,213,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,0,0
3315,41,admin.,married,unknown,no,no,no,sep,wed,845,1,7,3,success,-1.1,94.199,-37.5,0.886,4963.6,1,1,1
29191,33,admin.,married,university.degree,no,yes,yes,aug,fri,661,1,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,0,0
30549,32,technician,single,high.school,no,yes,no,may,tue,1531,1,999,0,nonexistent,-1.8,92.893,-46.2,1.291,5099.1,1,0,0
6098,32,blue-collar,single,basic.9y,no,yes,no,jul,tue,56,4,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,0,0
6252,37,management,married,university.degree,no,yes,no,oct,thu,339,3,3,3,success,-1.1,94.601,-49.5,1.025,4963.6,1,1,1
13373,46,admin.,married,high.school,no,no,no,aug,mon,428,2,999,3,failure,-1.7,94.027,-38.3,0.898,4991.6,0,1,0
24889,53,admin.,married,university.degree,unknown,no,no,jul,wed,815,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,1,0,0
26323,31,blue-collar,single,basic.9y,unknown,yes,no,jun,tue,409,1,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,0,0
8191,32,admin.,married,university.degree,no,no,no,may,thu,88,3,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,0,0
3725,27,blue-collar,married,high.school,no,yes,no,jun,fri,264,1,999,0,nonexistent,-2.9,92.963,-40.8,1.268,5076.2,0,0,0
18087,56,retired,divorced,high.school,no,yes,no,jul,wed,173,4,999,0,nonexistent,1.4,93.918,-42.7,4.963,5228.1,0,0,0
36388,31,services,married,high.school,no,no,yes,apr,wed,195,6,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,0,0,0
39170,46,admin.,married,high.school,no,yes,no,may,wed,100,4,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,0,0
25503,31,technician,divorced,high.school,no,no,no,may,mon,41,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0,0,0
13310,49,services,married,basic.6y,unknown,yes,no,may,thu,1165,1,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,0,0
30196,58,management,married,university.degree,no,yes,no,nov,wed,394,2,999,0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,0,0,0
919,24,student,single,high.school,no,yes,no,may,mon,504,1,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0,0,0
33698,33,services,single,basic.9y,no,no,no,may,mon,372,14,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,0
36871,39,blue-collar,single,basic.9y,no,yes,no,apr,thu,340,1,999,0,nonexistent,-1.8,93.075,-47.1,1.483,5099.1,0,0,0
11438,41,housemaid,single,university.degree,no,yes,no,aug,wed,116,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,0,0
28914,27,blue-collar,single,basic.6y,no,no,no,jul,tue,68,3,999,0,nonexistent,1.4,93.918,-42.7,4.961,5228.1,0,0,0
32845,29,admin.,single,basic.9y,no,yes,no,may,wed,256,3,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,0,0,0
31679,36,management,married,university.degree,no,no,no,nov,thu,192,2,6,1,success,-0.1,93.2,-42.0,4.076,5195.8,0,1,1
6010,35,student,married,basic.9y,no,yes,no,nov,thu,371,1,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,0,0
32385,47,blue-collar,married,unknown,unknown,no,no,may,tue,1334,1,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,1,0,0
33729,46,management,married,basic.9y,unknown,no,no,may,mon,206,4,999,0,nonexistent,1.1,93.994,-36.4,4.858,5191.0,0,0,0
25082,33,technician,single,professional.course,no,yes,yes,may,wed,65,6,999,0,nonexistent,1.1,93.994,-36.4,4.859,5191.0,0,0,0
34576,36,blue-collar,married,basic.4y,unknown,yes,no,jul,tue,221,1,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0,0
27325,36,self-employed,married,basic.6y,unknown,no,no,aug,mon,233,7,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,0,0
39411,34,technician,married,professional.course,no,no,no,jul,mon,166,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,0,0
14695,29,technician,married,professional.course,no,no,no,jul,mon,328,1,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,0,0
16723,46,services,married,high.school,unknown,no,yes,jul,mon,336,4,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,0,0
29438,70,retired,married,basic.4y,no,yes,no,aug,tue,356,3,6,1,success,-1.7,94.027,-38.3,0.904,4991.6,1,1,1
27089,45,blue-collar,married,high.school,no,no,no,jun,wed,341,4,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,0,0
31119,42,admin.,married,university.degree,no,no,no,may,fri,126,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,0,0
1311,35,admin.,single,university.degree,no,unknown,unknown,apr,mon,59,2,999,1,failure,-1.8,93.075,-47.1,1.405,5099.1,0,1,0
9420,42,blue-collar,married,basic.4y,no,yes,no,jun,thu,168,2,999,0,nonexistent,1.4,94.465,-41.8,4.866,5228.1,0,0,0
3584,22,admin.,married,high.school,no,no,no,may,tue,240,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,0
38935,68,retired,married,basic.4y,no,yes,no,jun,thu,220,2,999,1,failure,-1.7,94.055,-39.8,0.742,4991.6,0,1,0
12555,28,services,single,high.school,no,no,no,may,wed,649,2,999,0,nonexistent,-1.8,92.893,-46.2,1.281,5099.1,1,0,0
24910,35,admin.,married,high.school,no,yes,no,may,fri,1080,5,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,0,0
38872,27,admin.,single,university.degree,no,no,no,may,fri,86,1,3,1,success,-1.8,92.893,-46.2,1.259,5099.1,0,1,1
21896,42,blue-collar,married,unknown,no,yes,no,apr,fri,496,3,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,0,0
3489,40,technician,married,university.degree,unknown,no,no,may,thu,66,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,0,0
8019,28,self-employed,single,university.degree,no,no,no,may,wed,554,2,999,0,nonexistent,-1.8,92.893,-46.2,1.334,5099.1,1,0,0
40639,27,student,single,high.school,no,yes,no,dec,tue,396,1,999,0,nonexistent,-3.0,92.713,-33.0,0.708,5023.5,0,0,0
37741,51,technician,married,professional.course,no,yes,no,aug,fri,115,2,999,0,nonexistent,-2.9,92.201,-31.4,0.881,5076.2,0,0,0
25222,53,entrepreneur,married,basic.9y,unknown,yes,no,aug,tue,1282,5,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,1,0,0
26188,37,blue-collar,married,basic.4y,no,yes,no,jun,wed,140,2,999,0,nonexistent,1.4,94.465,-41.8,4.864,5228.1,0,0,0
22395,34,housemaid,married,high.school,unknown,no,no,may,wed,361,5,999,1,failure,-1.8,92.893,-46.2,1.334,5099.1,0,1,0
4952,32,admin.,single,university.degree,no,no,no,may,fri,188,2,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,0,0
38270,29,self-employed,married,university.degree,no,no,no,may,tue,376,2,999,0,nonexistent,-1.8,92.893,-46.2,1.266,5099.1,0,0,0
33055,45,admin.,married,high.school,unknown,yes,no,jul,mon,386,3,999,0,nonexistent,1.4,93.918,-42.7,4.962,5228.1,0,0,0
24542,42,admin.,married,university.degree,no,yes,no,nov,mon,120,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,0,0,0
21906,36,blue-collar,single,high.school,no,no,yes,may,fri,154,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,0
32483,35,technician,married,professional.course,no,yes,no,sep,thu,447,1,999,2,failure,-1.1,94.199,-37.5,0.878,4963.6,0,1,0
21403,22,blue-collar,single,basic.9y,no,no,no,jul,fri,106,1,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0,0,0
3250,49,blue-collar,married,basic.4y,unknown,yes,no,jun,fri,553,2,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,0,0,0
31908,51,housemaid,married,basic.4y,unknown,yes,no,aug,tue,234,2,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0,0,0
9619,59,admin.,married,professional.course,no,no,no,may,mon,139,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,0
9632,37,blue-collar,married,basic.9y,no,yes,no,may,mon,22,2,999,0,nonexistent,-1.8,92.893,-46.2,1.244,5099.1,0,0,0
9410,59,retired,married,university.degree,no,no,no,may,thu,425,6,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,0,0
33274,38,management,married,high.school,unknown,no,no,may,thu,879,2,999,0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,0,0,0
39476,31,admin.,married,university.degree,no,yes,no,may,wed,136,2,3,1,success,-1.8,92.893,-46.2,1.27,5099.1,0,1,1
37216,40,blue-collar,divorced,professional.course,no,no,no,jun,wed,115,2,3,1,success,-2.9,92.963,-40.8,1.26,5076.2,1,1,1
27629,29,admin.,married,university.degree,no,yes,no,apr,wed,350,2,999,0,nonexistent,-1.8,93.075,-47.1,1.445,5099.1,1,0,0
13151,30,technician,single,high.school,no,no,no,apr,fri,285,1,999,0,nonexistent,-1.8,93.075,-47.1,1.479,5099.1,0,0,0
27165,43,admin.,married,university.degree,no,no,no,may,tue,350,4,999,0,nonexistent,1.1,93.994,-36.4,4.856,5191.0,0,0,0
27274,44,blue-collar,married,basic.6y,no,no,no,apr,mon,428,1,999,0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,0,0,0
1305,36,unemployed,married,basic.6y,no,yes,no,nov,tue,144,1,999,0,nonexistent,-0.1,93.2,-42.0,4.153,5195.8,0,0,0
3470,34,admin.,married,high.school,no,yes,yes,jul,wed,29,8,999,0,nonexistent,1.4,93.918,-42.7,4.957,5228.1,0,0,0
1981,39,services,single,university.degree,unknown,yes,no,nov,thu,43,3,999,0,nonexistent,-0.1,93.2,-42.0,4.076,5195.8,0,0,0
40098,33,blue-collar,married,professional.course,no,no,no,may,thu,119,2,999,1,failure,-1.8,92.893,-46.2,1.266,5099.1,0,1,0
11710,53,services,married,high.school,no,no,no,aug,thu,62,2,999,0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,0,0,0
6899,45,technician,divorced,professional.course,no,no,no,aug,tue,94,10,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,0,0
24907,24,admin.,single,university.degree,no,yes,no,jun,wed,65,3,999,1,failure,-2.9,92.963,-40.8,1.244,5076.2,0,1,0
38863,36,blue-collar,divorced,high.school,no,no,yes,may,fri,442,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,0
31963,28,management,married,high.school,unknown,no,no,jun,tue,61,6,999,0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,0,0,0
16841,35,student,single,university.degree,unknown,yes,no,jun,mon,178,4,999,0,nonexistent,1.4,94.465,-41.8,4.96,5228.1,0,0,0
24114,30,admin.,married,unknown,no,yes,no,jun,fri,207,2,4,1,success,-2.9,92.963,-40.8,1.268,5076.2,1,1,1
34105,32,admin.,married,university.degree,unknown,no,no,aug,fri,298,1,999,0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,0,0,0
2436,35,blue-collar,married,basic.9y,no,no,no,may,fri,131,3,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,0,0,0
12451,33,services,married,high.school,no,yes,yes,may,tue,274,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,0
25531,39,admin.,married,university.degree,no,yes,no,jul,mon,929,15,999,0,nonexistent,1.4,93.918,-42.7,4.96,5228.1,0,0,0
10562,23,management,single,university.degree,no,no,yes,jul,thu,49,1,999,0,nonexistent,1.4,93.918,-42.7,4.958,5228.1,0,0,0
40883,45,unknown,married,high.school,unknown,yes,no,aug,tue,94,1,999,0,nonexistent,1.4,93.444,-36.1,4.965,5228.1,0,0,0
25124,32,student,single,unknown,no,yes,no,may,wed,188,2,999,0,nonexistent,-1.8,93.876,-40.0,0.672,5008.7,1,0,0
32747,37,blue-collar,married,basic.4y,no,yes,no,may,mon,59,4,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,0,0
24411,28,services,married,basic.9y,unknown,yes,no,may,thu,343,3,999,0,nonexistent,-1.8,92.893,-46.2,1.327,5099.1,0,0,0
2075,31,admin.,single,university.degree,no,yes,no,aug,wed,138,2,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,0,0
22661,43,admin.,married,university.degree,no,yes,no,aug,wed,281,4,999,0,nonexistent,1.4,93.444,-36.1,4.964,5228.1,0,0,0
